,Cost,,,14.58291581,5.33355479,3.198546778,10.94245792,14.43958552,4.189428734,3.635188553,5.220575254,19.2493521,36.83079586
,,,,CC8,CC,HC,HC,CC8,CC8,CC8,HC,HC,HC
1,Next least cost,,,14.80337879,5.373608462,3.206027923,11.14888392,14.45557538,4.615220817,3.648258684,5.353915638,19.30807386,36.88004567
,Type,,,CC8,CC,HC,CC8,CC8,CC,CC8,HC,HC,HC
2,Next least cost,,,14.89548442,5.411433698,3.233630941,11.18646084,16.23579918,4.701479024,5.070116191,5.501569277,21.05515432,39.22680734
,Type,,,CC8,CC8,HC,CC8,CC8,CC,CC8,CC8,CC8,CC8
3,Next least cost,,,14.92535028,5.481091976,3.233647501,11.45908401,16.25351456,4.759377166,5.306328105,5.503543597,21.06674784,39.46176182
,Type,,,CC8,CC8,HC,CC8,CC8,CC8,CC8,CC8,CC8,CC8
4,Next least cost,,,16.12052873,5.50642517,3.236131648,11.65379465,19.49325692,5.377423478,5.488467543,6.23065687,22.17250018,40.94165153
,Type,,,HC,HC,HC,CC8,CC8,HC,CC,CC,CC8,CC8
5,Next least cost,,,16.34222341,5.979023549,3.402813715,11.74995119,21.32273551,8.077393478,6.327539862,6.321835936,22.20304424,40.95423408
,Type,,,HC,CC8,HC,HC,CC,HC,CC,HC,CC8,CC8
,,,,,,,,,,,,,
,Next least cost in same Type,,,,,,,,,,,,
,Next least cost in same Type,,,,,,,,,,,,
,Time,,,40.863704,12.856728,7.93685,21.475045,39.876005,23.251055,15.100032,21.804279,42.490148,89.149448
,,,,CC8,CC8,CC,CC8,CC8,CC8,CC8,CC8,CC8,CC8
1,Next least time,,,45.460861,12.92676,8.045763,21.839945,39.960149,28.016708,15.585367,21.806963,44.000001,93.22468
,Type,,,CC8,CC8,CC,CC8,CC8,CC,CC8,CC8,CC8,CC8
2,Next least time,,,49.882666,15.677138,8.295176,23.748957,44.864917,28.501408,19.003434,23.356659,49.33469,94.160603
,Type,,,CC,CC,CC8,CC,CC,CC8,CC8,CC,CC,CC
3,Next least time,,,53.66092,16.569716,8.969722,25.758961,45.56784,30.275088,19.888786,24.645759,57.366486,94.673352
,Type,,,CC,CC,CC8,CC,CC,CC8,CC8,CC,CC,CC
4,Next least time,,,54.658605,20.282735,10.983857,37.168675,54.121385,31.405013,24.947002,30.173808,83.105323,153.454466
,Type,,,CC8,CC8,HC,HC,CC8,CC8,CC,CC8,CC8,CC8
