job_id system nodes time_req start_time stop_time
120472 Sierra 16 2m 1332652801 1332652835
88543 Sierra 128 2m 1332048005 1332048484
99493 Sierra 8 2m 1332134401 1332134409
103644 Sierra 128 2m 1332177602 1332177670
127506 Sierra 128 2m 1332868803 1332868815
105511 Sierra 512 2m 1332220805 1332220845
128292 Sierra 256 2m 1332912002 1332917690
71542 Sierra 16 2m 1331659202 1331659276
71543 Sierra 32 2m 1331659202 1331659277
126798 Sierra 128 2m 1332825602 1332825725
71547 Sierra 512 2m 1331659203 1331659331
76107 Sierra 256 2m 1331745603 1331745694
99495 Sierra 32 2m 1332134402 1332134409
125679 Sierra 64 2m 1332782403 1332783068
127509 Sierra 1024 2m 1332868803 1332891030
74137 Sierra 64 2m 1331702403 1331702437
112761 Sierra 16 2m 1332436801 1332436859
113857 Sierra 256 2m 1332480005 1332487230
69268 Sierra 8 2m 1331616001 1331616010
109411 Sierra 1024 2m 1332350409 1332371476
114660 Sierra 128 2m 1332523202 1332523486
108538 Sierra 256 2m 1332307203 1332307231
76105 Sierra 64 2m 1331745602 1331745674
124077 Sierra 128 2m 1332739203 1332739236
83606 Sierra 16 2m 1331961602 1331961623
76103 Sierra 16 2m 1331745602 1331745672
105508 Sierra 64 2m 1332220804 1332220880
109409 Sierra 256 2m 1332350404 1332359722
99499 Sierra 512 2m 1332134407 1332142885
81030 Sierra 128 2m 1331875203 1331876041
71548 Sierra 1024 2m 1331659204 1331673069
99500 Sierra 1024 2m 1332134407 1332148044
76106 Sierra 128 2m 1331745602 1331745639
123014 Sierra 1024 2m 1332696003 1332737402
83605 Sierra 8 2m 1331961602 1331961623
109407 Sierra 64 2m 1332350403 1332354366
117635 Sierra 8 2m 1332609602 1332609611
124078 Sierra 256 2m 1332739203 1332744052
82393 Sierra 256 2m 1331918403 1331919534
86130 Sierra 64 2m 1332004802 1332005526
105509 Sierra 128 2m 1332220805 1332220846
81031 Sierra 256 2m 1331875203 1331876041
117636 Sierra 16 2m 1332609602 1332609611
94072 Sierra 1024 2m 1332091210 1332108286
123012 Sierra 256 2m 1332696003 1332699123
125683 Sierra 1024 2m 1332782404 1332810623
125676 Sierra 16 2m 1332782402 1332782459
128293 Sierra 512 2m 1332912003 1332945065
79590 Sierra 512 2m 1331832008 1331856635
94068 Sierra 128 2m 1332091206 1332091216
108533 Sierra 8 2m 1332307201 1332307273
129228 Sierra 512 2m 1332955205 1332973155
105512 Sierra 1024 2m 1332220806 1332222651
103641 Sierra 16 2m 1332177601 1332177622
109406 Sierra 32 2m 1332350403 1332353914
74140 Sierra 512 2m 1331702404 1331702442
112767 Sierra 1024 2m 1332436803 1332454130
120478 Sierra 1024 2m 1332652803 1332665260
99497 Sierra 128 2m 1332134403 1332136023
120476 Sierra 256 2m 1332652802 1332652838
74138 Sierra 128 2m 1331702403 1331702440
88542 Sierra 64 2m 1332048005 1332048052
81027 Sierra 16 2m 1331875202 1331875316
81026 Sierra 8 2m 1331875202 1331875315
107010 Sierra 64 2m 1332264003 1332264061
115996 Sierra 512 2m 1332566405 1332576246
82389 Sierra 16 2m 1331918402 1331918412
114661 Sierra 256 2m 1332523203 1332525158
113852 Sierra 8 2m 1332480004 1332480320
74139 Sierra 256 2m 1331702404 1331702481
115995 Sierra 256 2m 1332566405 1332566438
124071 Sierra 8 2m 1332739202 1332739235
124074 Sierra 16 2m 1332739202 1332739277
83609 Sierra 128 2m 1331961603 1331962762
81033 Sierra 1024 2m 1331875204 1331894129
124079 Sierra 512 2m 1332739204 1332748453
105505 Sierra 8 2m 1332220803 1332220879
74135 Sierra 16 2m 1331702402 1331702481
76104 Sierra 32 2m 1331745602 1331745674
78465 Sierra 128 2m 1331788803 1331788885
82391 Sierra 64 2m 1331918402 1331918541
86132 Sierra 256 2m 1332004803 1332010319
129227 Sierra 256 2m 1332955205 1332961637
114657 Sierra 16 2m 1332523202 1332523230
79583 Sierra 8 2m 1331832007 1331832016
71546 Sierra 256 2m 1331659203 1331659375
107011 Sierra 128 2m 1332264003 1332264061
103643 Sierra 64 2m 1332177602 1332177670
108534 Sierra 16 2m 1332307201 1332307273
128290 Sierra 64 2m 1332912002 1332915565
113859 Sierra 1024 2m 1332480006 1332499315
117641 Sierra 512 2m 1332609604 1332611876
108535 Sierra 32 2m 1332307202 1332307273
129225 Sierra 128 2m 1332955205 1332955768
94064 Sierra 8 2m 1332091202 1332091210
123009 Sierra 32 2m 1332696002 1332696024
83612 Sierra 1024 2m 1331961604 1331969890
86128 Sierra 16 2m 1332004802 1332004825
124075 Sierra 32 2m 1332739203 1332739279
86129 Sierra 32 2m 1332004802 1332004996
114658 Sierra 32 2m 1332523202 1332523230
128294 Sierra 1024 2m 1332912003 1332948793
83607 Sierra 32 2m 1331961602 1331962796
94067 Sierra 64 2m 1332091203 1332091211
129223 Sierra 32 2m 1332955204 1332955216
117640 Sierra 256 2m 1332609603 1332610416
78461 Sierra 8 2m 1331788802 1331788880
108536 Sierra 64 2m 1332307202 1332307230
120474 Sierra 64 2m 1332652802 1332652838
129224 Sierra 64 2m 1332955204 1332955815
110191 Sierra 64 2m 1332393603 1332393647
115990 Sierra 8 2m 1332566403 1332566480
127502 Sierra 8 2m 1332868802 1332868819
126795 Sierra 16 2m 1332825601 1332825645
83608 Sierra 64 2m 1331961602 1331962797
74136 Sierra 32 2m 1331702403 1331702481
128291 Sierra 128 2m 1332912002 1332915858
113853 Sierra 16 2m 1332480004 1332480283
69271 Sierra 64 2m 1331616002 1331616011
113854 Sierra 32 2m 1332480004 1332480712
123013 Sierra 512 2m 1332696003 1332707821
103645 Sierra 256 2m 1332177603 1332177628
112766 Sierra 512 2m 1332436803 1332444334
69274 Sierra 512 2m 1331616003 1331616097
86131 Sierra 128 2m 1332004803 1332007818
83611 Sierra 512 2m 1331961603 1331963468
108540 Sierra 1024 2m 1332307203 1332309908
79588 Sierra 256 2m 1331832008 1331836331
110189 Sierra 16 2m 1332393602 1332393647
115994 Sierra 128 2m 1332566404 1332566482
126796 Sierra 32 2m 1332825601 1332825613
107008 Sierra 16 2m 1332264002 1332264015
117639 Sierra 128 2m 1332609603 1332609849
128287 Sierra 8 2m 1332912001 1332912035
103640 Sierra 8 2m 1332177601 1332177632
129221 Sierra 8 2m 1332955203 1332955250
125675 Sierra 8 2m 1332782402 1332782425
129229 Sierra 1024 2m 1332955205 1334646000
76108 Sierra 512 2m 1331745603 1331745694
128288 Sierra 16 2m 1332912001 1332912081
112762 Sierra 32 2m 1332436802 1332436817
127508 Sierra 512 2m 1332868803 1332891026
123007 Sierra 8 2m 1332696002 1332696063
103646 Sierra 512 2m 1332177603 1332183271
107007 Sierra 8 2m 1332264002 1332264060
78463 Sierra 32 2m 1331788802 1331788839
109405 Sierra 16 2m 1332350402 1332350628
114659 Sierra 64 2m 1332523202 1332523232
82390 Sierra 32 2m 1331918402 1331918413
79586 Sierra 64 2m 1331832007 1331832134
109404 Sierra 8 2m 1332350402 1332350489
82394 Sierra 512 2m 1331918403 1331920173
86127 Sierra 8 2m 1332004801 1332004824
123008 Sierra 16 2m 1332696002 1332696023
126797 Sierra 64 2m 1332825602 1332825770
120471 Sierra 8 2m 1332652801 1332652877
105506 Sierra 16 2m 1332220804 1332220840
69269 Sierra 16 2m 1331616001 1331616011
78467 Sierra 512 2m 1331788803 1331788885
79585 Sierra 32 2m 1331832007 1331832016
88546 Sierra 1024 2m 1332048006 1332067987
126800 Sierra 512 2m 1332825603 1332826002
103647 Sierra 1024 2m 1332177603 1332197147
114662 Sierra 512 2m 1332523203 1332576243
125678 Sierra 32 2m 1332782402 1332783110
79591 Sierra 1024 2m 1331832009 1331856424
78464 Sierra 64 2m 1331788802 1331788839
115991 Sierra 16 2m 1332566403 1332566480
107013 Sierra 512 2m 1332264004 1332264105
94066 Sierra 32 2m 1332091202 1332091210
78466 Sierra 256 2m 1331788803 1331788885
94065 Sierra 16 2m 1332091202 1332091210
109408 Sierra 128 2m 1332350403 1332356491
126794 Sierra 8 2m 1332825601 1332825644
94070 Sierra 256 2m 1332091206 1332091216
82395 Sierra 1024 2m 1331918403 1331930955
99496 Sierra 64 2m 1332134402 1332134437
129222 Sierra 16 2m 1332955204 1332955250
120477 Sierra 512 2m 1332652803 1332654221
109410 Sierra 512 2m 1332350409 1332369370
71545 Sierra 128 2m 1331659203 1331659375
112760 Sierra 8 2m 1332436801 1332436818
108539 Sierra 512 2m 1332307203 1332308623
125680 Sierra 128 2m 1332782403 1332783113
127503 Sierra 16 2m 1332868802 1332868813
110195 Sierra 1024 2m 1332393604 1332396369
78462 Sierra 16 2m 1331788802 1331788881
81028 Sierra 32 2m 1331875202 1331875281
108537 Sierra 128 2m 1332307202 1332307231
110193 Sierra 256 2m 1332393603 1332393614
125681 Sierra 256 2m 1332782403 1332783072
120475 Sierra 128 2m 1332652802 1332652841
74134 Sierra 8 2m 1331702402 1331702480
99498 Sierra 256 2m 1332134407 1332140713
114663 Sierra 1024 2m 1332523203 1332576093
113855 Sierra 64 2m 1332480005 1332482597
120473 Sierra 32 2m 1332652801 1332652877
79584 Sierra 16 2m 1331832007 1331832016
113858 Sierra 512 2m 1332480006 1332489958
71541 Sierra 8 2m 1331659202 1331659233
127504 Sierra 32 2m 1332868802 1332868814
86134 Sierra 1024 2m 1332004803 1332028572
127505 Sierra 64 2m 1332868802 1332868857
126799 Sierra 256 2m 1332825602 1332825940
107009 Sierra 32 2m 1332264002 1332264060
